"id","name","email","gender","semester","branch","dateOfBirth","fingerprint","createdAt","updatedAt"
"VU4F1920016","Ram Bhatnagar","ram@gmail.com","Female","3","Artificial Intelligence & Data Science","1999-01-22","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920017","Barkha Tiwari","barkha@gmail.com","Male","4","Artificial Intelligence & Data Science","2000-09-19","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920018","Chandrabhan Guru","chandrabhan@gmail.com","Male","6","Electronics & Telecommunication","1999-02-22","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920019","Manjula Mazumdar","manjula@gmail.com","Female","4","Information Technology","2000-05-12","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920020","Roopa Chandravanshi","roopa@gmail.com","Female","4","Information Technology","1999-04-18","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920021","Nilesh Ahuja","nilesh@gmail.com","Male","5","Computer","1999-11-20","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920022","Ramprasad Bhargav","ramprasad@gmail.com","Male","4","Electronics & Telecommunication","1999-05-02","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920023","Saraswati Kushwaha","saraswati@gmail.com","Male","2","Information Technology","2000-09-02","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920024","Kamya Valmiki","kamya@gmail.com","Female","6","Artificial Intelligence & Data Science","2001-09-02","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920025","Brijbhushan Khattar","brijbhushan@gmail.com","Female","4","Computer","2001-06-17","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920026","Ramnik Kayasth","ramnik@gmail.com","Female","8","Information Technology","2002-07-13","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920027","Pratyusha Phogat","pratyusha@gmail.com","Female","4","Computer","2001-07-10","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920028","Dinkar Sinha","dinkar@gmail.com","Male","2","Information Technology","2000-08-16","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920029","Bheem Srivastava","bheem@gmail.com","Male","5","Electronics & Telecommunication","2000-08-12","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920030","Kanak Tata","kanak@gmail.com","Male","6","Computer","2001-03-18","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920031","Devika Umrao","devika@gmail.com","Female","6","Computer","2000-07-02","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920032","Harini Bhawsar","harini@gmail.com","Male","3","Computer","2002-06-13","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920033","Govinda Tandon","govinda@gmail.com","Female","8","Artificial Intelligence & Data Science","1999-09-27","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920034","Jeetu Lakhotia","jeetu@gmail.com","Female","8","Electronics & Telecommunication","2001-06-18","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920035","Nupur Goyal","nupur@gmail.com","Female","8","Artificial Intelligence & Data Science","1999-05-17","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920036","Bheem Rana","bheem@gmail.com","Male","1","Artificial Intelligence & Data Science","2000-11-22","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920037","Animesh Awasthi","animesh@gmail.com","Male","8","Artificial Intelligence & Data Science","2001-02-12","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920038","Aishwarya Pandit","aishwarya@gmail.com","Male","8","Artificial Intelligence & Data Science","2001-10-13","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920039","Sheetalaprasad Balyan","sheetalaprasad@gmail.com","Male","8","Information Technology","2000-11-18","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920040","Nirbhay Kaushik","nirbhay@gmail.com","Male","2","Artificial Intelligence & Data Science","2002-06-14","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920041","Vandana Valmiki","vandana@gmail.com","Female","7","Artificial Intelligence & Data Science","2000-01-11","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920042","Bhoomika Sonkar","bhoomika@gmail.com","Female","4","Information Technology","2002-11-03","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920043","Himansh Soman","himansh@gmail.com","Male","2","Computer","2000-10-24","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920044","Premlata Singh","premlata@gmail.com","Male","3","Information Technology","2002-04-09","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920045","Mudrika Soni","mudrika@gmail.com","Female","1","Artificial Intelligence & Data Science","2002-01-31","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920046","Manjula Dhoni","manjula@gmail.com","Male","8","Artificial Intelligence & Data Science","2000-12-11","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920047","Suryakant Ranaut","suryakant@gmail.com","Female","8","Information Technology","1999-06-19","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920048","Atul Pednekar","atul@gmail.com","Female","5","Electronics & Telecommunication","2000-02-07","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920049","Mausami Bachchan","mausami@gmail.com","Female","1","Electronics & Telecommunication","1999-12-15","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920050","Bahadur Bhattacharya","bahadur@gmail.com","Male","6","Information Technology","2000-06-13","http://www.example.com","2022-10-01","2022-10-01"
"VU4F1920100","Rupesh Nalla","shambu@gmail.com","Female","1","Information Technology","1999-06-01","http://www.google.com","2022-10-03","2022-10-03"
